"initDR","hvhyr6_pc_mean","hvhyr6_pc_min","hvhyr6_pc_max","gp_pc_mean","gp_pc_min","gp_pc_max","kcal_pc_mean","kcal_pc_min","kcal_pc_max","lu_pc_mean","landuse_pc_min","landuse_pc_max","ghg_pc_mean","ghg_pc_min","ghg_pc_max"
"LD-LR",-86.0140108630633,-95.9072370942034,-58.0128759663013,24.2635454231609,15.4823512851952,39.3987509024963,3.23725461252529,-1.4591607564456,5.61339892933726,-0.964759242928774,-6.37192123522861,3.82086040227863,-9.62173654395499,-18.6614132372465,7.90366595156028
"LD-HR",-80.9101906503035,-92.6159291657076,-70.2101737448943,3.34367960783231,-12.0516985717737,16.402582519782,-3.18617695570704,-10.2058616787088,4.8058444404391,4.8796415482134,-8.04437512459016,14.132496937889,-13.4206630799894,-27.9410333180301,5.22912533507153
"HD-HR",-57.9059477598307,-98.1396404017173,-26.8655041101866,-10.900413917113,-32.1204630143528,14.064656960758,-11.1498437464441,-25.9978085226588,29.8518858641546,15.0140091788939,-9.08836087863663,59.6956493455207,-23.4611291637994,-33.5989476900745,-4.62558917830715
