"ID","scenario","region","soiltype","initDR","year","crop","gp","oc","yield","calories","calories_diff","land_use","land_use_diff","ww_yield","ww_pc","cyl","output","fuel_cost","labour_cost","operations_cost","fertiliser_cost","seed_cost","herbicide_cost","sundry_cost","variables_cost","other_cost","c_fert_prod","c_fert_appl","c_pesticide","c_stock_change","c_field_energy_use","c_total","c_emiss_diff"
"BAU_n_l_HD-HR_5","BAU","north","light","HD-HR",5,"winterwheat",427.930602608614,0,5.48289249100747,1831.2860919965,0,0.546214758082517,0,5.48289249100747,0,54.222027027027,1223.62833171994,106.059927141166,54.5878019701615,160.647729111328,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329,0
"BAU_n_l_HD-HR_6","BAU","north","light","HD-HR",6,"wosr",216.4,0,2.37,1170.78,0,0.854131433745025,0,0,0,0,1016.95,181,95,276,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1136.910397,41,0,36.5791303,2376.203813,0
"BAU_c_h_HD-HR_1","BAU","central","heavy","HD-HR",1,"winterwheat",872.145,0,8.2175,2744.645,0,0.364464866885378,0,8.2175,0,135.505,1722.695,127,64.5,191.5,233.96,72,171.09,182,659.05,487.96,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049,0
"BAU_c_h_HD-HR_2","BAU","central","heavy","HD-HR",2,"winterwheat",662.634045578359,0,7.06584665581004,2359.99278304055,0,0.424224069544468,0,7.06584665581004,0,182.165675675676,1512.51430750669,126.517612506813,64.3166445818968,190.83425708871,233.96,72,171.09,182,659.05,487.96,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049,0
"BAU_c_h_HD-HR_3","BAU","central","heavy","HD-HR",3,"wosr",498.7,0,3.35,1654.9,0,0.604266118798719,0,0,0,0,1345.25,211,111,322,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1663.150282,41,0,55.92590348,2921.790471,0
"BAU_c_h_HD-HR_4","BAU","central","heavy","HD-HR",4,"winterwheat",750.663445552002,0,7.54505261301744,2520.04757274783,0,0.397239927052547,0,7.54505261301744,0,258.226216216216,1599.9737723414,126.112291664042,64.1480351253585,190.260326789401,233.96,72,171.09,182,659.05,487.96,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049,0
"BAU_c_h_HD-HR_5","BAU","central","heavy","HD-HR",5,"winterwheat",663.809085557959,0,7.07649169883781,2363.54822741183,0,0.423279809822721,0,7.07649169883781,0,98.4594594594595,1514.4606255717,127.127612139131,64.4739278746067,191.601540013738,233.96,72,171.09,182,659.05,487.96,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049,0
"BAU_c_h_HD-HR_6","BAU","central","heavy","HD-HR",6,"wosr",498.7,0,3.35,1654.9,0,0.604266118798719,0,0,0,0,1345.25,211,111,322,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1663.150282,41,0,55.92590348,2921.790471,0
"BAU_c_m_HD-HR_1","BAU","central","medium","HD-HR",1,"winterwheat",722.465,0,7.285,2433.19,0,0.411116050327624,0,7.285,0,119.535,1552.5125,113.25,57.75,171,233.96,72,171.09,182,659.05,487.96,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526,0
"BAU_c_m_HD-HR_2","BAU","central","medium","HD-HR",2,"winterwheat",548.537447813019,0,6.41827795308764,2143.70483633127,0,0.466972515137269,0,6.41827795308764,0,132.804594594595,1394.33529269789,123.063817404256,63.6879391347521,186.751756539008,233.96,72,171.09,182,659.05,487.96,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761,0
