"fieldname","scenario","year","rotation","fieldID","product","production_area","finished_product_from_production_area","climate","avg_annual_temp","croptype","soiltexture","SOM_integer","SOM","soilmoisture","soildrainage","pHvalue","pH","fertiliser1","applicationrate","applicationmethod","fertiliser_spraydays","pesticide_applicns","tillage_changes","tillage_changes_time","tillage_changes_pc","residue_management","residue_incorporation","chisel_plough","disc_gang","disc_harrow","field_cultivator_ridger ","grain_drill","grain_drill_notill","row_crop_planter","moldboard_plough","roller_harrow","roller_packer","rotary_hoe_bed_tiller","subsoiler","tine_harrow","spraydays_BGgly","wtd_yield_mean"
"n_h_LD-LR","BAU",2011,"1","BAU_n_h_LD-LR_1","winterwheat",7.2,63.0481722484477,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,8.75669059006218
"n_h_LD-LR","BAU",2012,"2","BAU_n_h_LD-LR_2","winterwheat",7.2,55.4915766540699,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,7.70716342417637
"n_h_LD-LR","BAU",2013,"3","BAU_n_h_LD-LR_3","wosr",7.2,24.12,"Temperate",10,"Other","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,3.35
"n_h_LD-LR","BAU",2014,"4","BAU_n_h_LD-LR_4","winterwheat",7.2,60.4440460772227,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,8.39500639961426
"n_h_LD-LR","BAU",2015,"5","BAU_n_h_LD-LR_5","winterwheat",7.2,54.0393388035348,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,7.50546372271316
"n_h_LD-LR","BAU",2016,"6","BAU_n_h_LD-LR_6","wosr",7.2,24.12,"Temperate",10,"Other","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,3.35
"n_m_HD-HR","BAU",2011,"1","BAU_n_m_HD-HR_1","winterwheat",7.2,51.794851158734,"Temperate",10,"Winter wheat","Medium",4.472,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,7.19372932760195
"n_m_HD-HR","BAU",2012,"2","BAU_n_m_HD-HR_2","winterwheat",7.2,45.4850187192454,"Temperate",10,"Winter wheat","Medium",4.472,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,1,0,1,1,2,0,0,0,4,6.31736371100631
"n_m_HD-HR","BAU",2013,"3","BAU_n_m_HD-HR_3","wosr",7.2,20.592,"Temperate",10,"Other","Medium",4.472,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,2.86
"n_m_HD-HR","BAU",2014,"4","BAU_n_m_HD-HR_4","winterwheat",7.2,49.9235144866692,"Temperate",10,"Winter wheat","Medium",4.472,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,6.93382145648183
